x_values RMSSD ETC
1.588443855282112294e-01 1.322087428835545253e-01 8.244094664121494054e-01
8.188057930906431636e-01 1.260528825818527654e+00 4.508762065503371108e-01
3.372410373020388041e-01 -3.734467839629446693e-03 -2.241554842331138886e+00
1.000000000000000000e+00 1.744588703537844343e-01 7.729497052105519517e-01
7.030326128005981445e-01 5.704516072636129920e-01 1.178799797049060682e+00
0.000000000000000000e+00 7.731285119023085795e-01 -5.544742072836016389e-01
9.110460281372070312e-01 -2.044311058201944697e-01 -1.226418515750947513e+00
5.965136289596557617e-01 4.442128949173032582e-01 -3.403455008418714844e-01
6.999646872282028198e-02 3.973875026931593668e-01 -5.642784748885978363e-01
7.656216025352478027e-01 4.144688342726774999e-01 3.872632840220069372e-01
6.566434502601623535e-01 6.131355772356694711e-01 1.695391090052827066e+00
7.372451424598693848e-01 -1.473349422097413486e+00 -9.302196633867965136e-02
5.129750967025756836e-01 -3.034051439204801692e+00 2.223009057843998715e-01
1.211572736501693726e-01 2.095986582809266086e-01 6.513189228862755753e-01
1.966935098171234131e-01 -2.740135906594862170e-01 -1.163215870532793739e+00
